$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_89,/Place/BikePoints_89,"Tavistock Place, Bloomsbury",BikePoint,51.52625,-0.123509
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_90,/Place/BikePoints_90,"Harrington Square 1, Camden Town",BikePoint,51.533019,-0.139174
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_91,/Place/BikePoints_91,"Walnut Tree Walk, Vauxhall",BikePoint,51.493686,-0.111014
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_92,/Place/BikePoints_92,"Borough Road, Elephant & Castle",BikePoint,51.498898,-0.10044
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_93,/Place/BikePoints_93,"Cloudesley Road, Angel",BikePoint,51.534408,-0.109025
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_94,/Place/BikePoints_94,"Bricklayers Arms, Borough",BikePoint,51.495061,-0.085814
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_95,/Place/BikePoints_95,"Aldersgate Street, Barbican",BikePoint,51.520841,-0.09734
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_96,/Place/BikePoints_96,"Falkirk Street, Hoxton",BikePoint,51.53095,-0.078505
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_97,/Place/BikePoints_97,"Gloucester Road (North), Kensington",BikePoint,51.497924,-0.183834
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_98,/Place/BikePoints_98,"Hampstead Road, Euston",BikePoint,51.525542,-0.138231
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_99,/Place/BikePoints_99,"Old Quebec Street, Marylebone",BikePoint,51.514577,-0.158264
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_100,/Place/BikePoints_100,"Albert Embankment, Vauxhall",BikePoint,51.490435,-0.122806
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_101,/Place/BikePoints_101,"Queen Street 1, Bank",BikePoint,51.511553,-0.09294
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_102,/Place/BikePoints_102,"Jewry Street, Aldgate",BikePoint,51.513406,-0.076793
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_103,/Place/BikePoints_103,"Vicarage Gate, Kensington",BikePoint,51.504723,-0.192538
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_104,/Place/BikePoints_104,"Crosswall, Tower",BikePoint,51.511594,-0.077121
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_105,/Place/BikePoints_105,"Westbourne Grove, Bayswater",BikePoint,51.515529,-0.19024
